Index,Title,RT Critic,RT User,IMDB User,TV_0,Print_0,TV_1,Print_1,Screens_1,BO_1,TV_2,Print_2,Screens_2,BO_2,TV_3,Print_3,Screens_3,BO_3,TV_4,Print_4,Screens_4,BO_4,TV_5,Print_5,Screens_5,BO_5,TV_6,Print_6,Screens_6,BO_6,TV_7,Print_7,Screens_7,BO_7,TV_8,Print_8,Screens_8,BO_8,TV_9,Print_9,Screens_9,BO_9,TV_10,Print_10,Screens_10,BO_10,Distributor,Genre,Runtime,MPAA Rating,Production Budget
75,CSA: Confederate States Of America,0.78,0.5,6.4,0,0,0,15000,1.0,28245,0,44600,5.1428571430000005,45480,0,57500,11.14285714,57127,0,34100,13.14285714,64221,0,6400,16.42857143,64713,0,10100,21.14285714,66715,0,8400,22.71428571,56496,0,0,19.85714286,34993,0,0,14.28571429,21315,0,0,11.5,2415,IFC,Comedy,1 hrs. 29 min.,Unrated,
76,Cyrus,0.8,0.52,6.5,84300,143900,127300,311400,4.1428571430000005,265231,394900,496100,16.42857143,429438,306400,778700,69.0,1307787,256800,555800,184.0,1679186,67000,316500,395.85714289999993,1444461,0,164700,395.7142857,938142,0,23100,181.0,302371,0,800,105.2857143,137512,0,0,58.57142857,59870,0,0,35.42857143,33239,Fox Searchlight,Comedy,1 hrs. 32 min.,R,7000000.0
77,De-Lovely,0.48,0.62,6.5,709800,256000,430100,798800,15.0,488516,1211700,612500,22.14285714,494860,453700,1141900,158.5714286,2029753,20100,1010900,295.7142857,2149148,0,494100,337.14285710000007,1645277,0,351300,335.85714289999993,1209406,0,172900,308.7142857,876686,0,174900,227.28571430000002,638388,0,92600,205.4285714,531708,0,74100,192.5714286,469051,United Artists,Music Drama,2 hrs. 5 min.,PG-13,20000000.0
78,Doubt,0.78,0.75,7.7,1704900,240000,3418400,879300,14.42857143,678394,2518300,1404500,195.5714286,2227372,1323600,2185800,1153.857143,9438171,357000,1371200,1174.285714,5999465,15500,887400,1149.714286,3146008,0,442100,586.0,1546357,735200,447200,296.14285710000007,967851,109300,517000,487.14285710000007,1033699,22100,369700,325.14285710000007,850874,4400,267100,246.28571430000002,3393021,Miramax,Drama,1 hrs. 44 min.,PG-13,20000000.0
79,Down In The Valley,0.51,0.46,6.5,0,14200,0,106600,3.0,35095,0,22000,15.0,78864,0,15700,26.14285714,90067,0,13600,21.85714286,76730,0,16400,18.57142857,59592,0,2600,18.71428571,32483,0,1700,7.714285714,15680,0,1400,12.42857143,19339,0,1000,7.857142857,12722,0,0,8.142857142999999,9967,ThinkFilm,Drama,1 hrs. 54 min.,R,8000000.0
80,Dreamgirls,0.78,0.73,6.5,2049800,246300,3132200,818200,3.0,624025,2199300,3160800,458.7142857,21326470,1439800,2803600,804.0,21495484,2272900,1993400,804.4285714,10589549,2711900,1629300,1748.142857,11665812,1626500,1058900,1935.857143,9273983,769800,888400,2332.142857,7372103,204500,636100,2273.428571,4287820,1800,526100,1686.0,3209566,0,349800,748.0,1433076,Paramount (DreamWorks),Musical,2 hrs. 5 min.,PG-13,70000000.0
81,Duma,0.93,0.58,7.2,4000,65100,0,40300,41.71428571,147270,0,21500,34.57142857,67082,0,5100,10.0,24339,0,0,1.0,2817,0,0,1.0,1584,0,0,0.0,0,0,0,1.0,2773,0,0,1.0,2906,0,0,1.0,1865,0,0,1.0,2762,Warner Bros.,Family Adventure,1 hrs. 41 min.,PG,12000000.0
82,Dust To Glory,0.6,0.85,7.2,44400,66300,125100,144100,2.0,22649,70400,172400,32.14285714,145660,6000,81400,47.42857143,153808,0,59600,72.71428571,152697,0,17400,52.28571429,74382,0,0,31.71428571,35610,0,4900,17.57142857,14110,0,0,9.0,4998,0,0,2.0,1065,0,0,6.428571429,1138,IFC,Documentary,1 hrs. 37 min.,PG,
83,Easy Virtue,0.51,0.47,6.6,0,73900,0,44000,10.0,173850,5400,69300,22.85714286,366821,900,75800,37.0,423684,3100,71300,59.57142857,507854,0,75600,183.1428571,746085,0,30100,145.1428571,735616,0,7200,69.71428571,366460,0,2400,29.85714286,157315,0,800,24.0,102479,0,0,17.14285714,78791,Sony Classics,Period Comedy,1 hrs. 33 min.,PG-13,
84,Elegy,0.75,0.6,6.8,20800,102600,8800,216400,6.0,160354,52200,207300,5.857142857,86736,5900,443900,80.71428571,597093,0,269400,115.8571429,771492,0,146700,117.0,536958,0,123300,107.1428571,287792,0,72100,101.42857140000001,224598,0,24500,74.57142857,123867,0,4800,41.14285714,60558,0,1900,31.71428571,38137,Samuel Goldwyn,Drama,1 hrs. 48 min.,R,13000000.0
